Sprint,Dev,Tarefa,Fracao,T_Din,Inicio,Fim,Duracao_Tarefa,T_Nominal_Original,T_Base_Calculado,F_Tech_ET,F_Beh_EC,P_Ctx,P_Com,P_Phi_Fadiga,P_Match,B_Apr_Acumulado,F_Total_Multiplicador,Cg_Idx_Sustentabilidade,VNS_Gap,Runtime
3,Dev_0,T68,1.0,33.843500000000006,281.1435,314.987,33.843500000000006,12,17.94,0.92,1.625,0.4,0.0,0.3749999999999999,0.0,0.0,1.775,0.14166666666666666,179.52888888888893,210.95974731445312
1,Dev_1,T1,1.0,18.799999999999997,0.0,18.799999999999997,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
1,Dev_1,T6,1.0,18.799999999999997,18.799999999999997,37.599999999999994,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
1,Dev_1,T11,1.0,18.799999999999997,37.599999999999994,56.39999999999999,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
2,Dev_1,T16,1.0,20.57,112.0,132.57,20.57,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.04000000000000001,1.5474999999999999,0.12083333333333333,179.52888888888893,210.95974731445312
3,Dev_1,T26,1.0,18.799999999999997,224.0,242.8,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
3,Dev_1,T31,1.0,18.799999999999997,242.8,261.6,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
5,Dev_1,T36,1.0,18.415999999999997,448.0,466.416,18.415999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.03200000000000001,1.3679999999999999,0.1,179.52888888888893,210.95974731445312
4,Dev_1,T41,1.0,20.57,336.0,356.57,20.57,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.04000000000000001,1.5474999999999999,0.12083333333333333,179.52888888888893,210.95974731445312
3,Dev_1,T46,1.0,18.799999999999997,261.6,280.40000000000003,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
2,Dev_1,T51,1.0,21.049999999999997,132.57,153.62,21.049999999999997,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
4,Dev_1,T53,1.0,29.33159,356.57,385.90159,29.33159,12,17.94,0.92,1.625,0.4,0.0,0.18749999999999994,0.0,0.06400000000000002,1.5234999999999999,0.12083333333333333,179.52888888888893,210.95974731445312
2,Dev_1,T55,1.0,30.47975,153.62,184.09975,30.47975,12,17.94,0.92,1.625,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
5,Dev_1,T56,1.0,17.7056,466.416,484.1216,17.7056,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.09120000000000002,1.3088,0.1,179.52888888888893,210.95974731445312
4,Dev_1,T66,1.0,21.049999999999997,385.90159,406.95159,21.049999999999997,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
5,Dev_1,T71,1.0,18.799999999999997,484.1216,502.9216,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
1,Dev_2,T2,1.0,18.799999999999997,0.0,18.799999999999997,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
1,Dev_2,T7,1.0,18.799999999999997,18.799999999999997,37.599999999999994,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
1,Dev_2,T12,1.0,18.799999999999997,37.599999999999994,56.39999999999999,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
2,Dev_2,T17,1.0,20.57,112.0,132.57,20.57,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.04000000000000001,1.5474999999999999,0.12083333333333333,179.52888888888893,210.95974731445312
2,Dev_2,T22,1.0,21.049999999999997,132.57,153.62,21.049999999999997,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
3,Dev_2,T27,1.0,18.32,224.0,242.32,18.32,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.04000000000000001,1.3599999999999999,0.1,179.52888888888893,210.95974731445312
5,Dev_2,T32,1.0,18.415999999999997,448.0,466.416,18.415999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.03200000000000001,1.3679999999999999,0.1,179.52888888888893,210.95974731445312
3,Dev_2,T37,1.0,18.799999999999997,242.32,261.12,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
4,Dev_2,T42,1.0,21.049999999999997,336.0,357.05,21.049999999999997,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
