iteracao,tempo_s,tmax_best_h,fp_best,fp_iter,gap_pct,k,melhoria,rejeitada_infactivel
178,58.684,536.23068,556.8703999375,80348.691159875,308.55670857142854,3,0,0
179,58.818,536.23068,556.8703999375,2024.6612207499993,308.55670857142854,7,0,0
180,59.174,536.23068,556.8703999375,559.4925024548611,308.55670857142854,6,0,0
181,59.451,536.23068,556.8703999375,560.9491638402778,308.55670857142854,1,0,0
182,60.155,536.23068,556.8703999375,585.9614228148132,308.55670857142854,9,0,0
183,61.423,536.23068,556.8703999375,557.8310649375001,308.55670857142854,3,0,0
184,61.654,536.23068,556.8703999375,1225.6510177361092,308.55670857142854,5,0,0
185,61.948,536.23068,556.8703999375,533.0876657638858,308.55670857142854,4,0,1
186,61.951,536.23068,556.8703999375,79640.18924064586,308.55670857142854,8,0,0
187,62.302,536.23068,556.8703999375,559.3927757013888,308.55670857142854,6,0,0
188,62.305,536.23068,556.8703999375,188911.73370840933,308.55670857142854,8,0,0
189,62.835,536.23068,556.8703999375,563.0122140694444,308.55670857142854,9,0,0
190,63.289,536.23068,556.8703999375,556.8703999375,308.55670857142854,6,0,0
191,63.542,536.23068,556.8703999375,529.7692433645818,308.55670857142854,4,0,1
192,63.86,536.23068,556.8703999375,557.7824241388889,308.55670857142854,10,0,0
193,64.161,536.23068,556.8703999375,557.7824241388889,308.55670857142854,2,0,0
194,64.427,536.23068,556.8703999375,557.7824241388889,308.55670857142854,1,0,0
195,64.429,536.23068,556.8703999375,84777.8189597214,308.55670857142854,3,0,0
196,64.695,536.23068,556.8703999375,542.4092428749968,308.55670857142854,7,0,1
197,64.991,536.23068,556.8703999375,557.7824241388889,308.55670857142854,10,0,0
198,65.054,536.23068,556.8703999375,23862.157576489575,308.55670857142854,9,0,0
199,65.573,536.23068,556.8703999375,557.7921876805556,308.55670857142854,6,0,0
200,66.516,536.23068,556.8703999375,557.6887235486112,308.55670857142854,8,0,0
201,66.775,536.23068,556.8703999375,2024.6612207499993,308.55670857142854,2,0,0
202,67.386,536.23068,556.8703999375,561.7592783715278,308.55670857142854,5,0,0
203,67.388,536.23068,556.8703999375,153411.04310136096,308.55670857142854,3,0,0
204,67.391,536.23068,556.8703999375,91104.08021359333,308.55670857142854,4,0,0
205,67.642,536.23068,556.8703999375,556.8703999375,308.55670857142854,1,0,0
206,68.021,536.23068,556.8703999375,561.5826379583333,308.55670857142854,6,0,0
207,68.286,536.23068,556.8703999375,490.20799475694133,308.55670857142854,7,0,1
208,68.677,536.23068,556.8703999375,810.6905043923592,308.55670857142854,3,0,0
209,69.166,536.23068,556.8703999375,562.0940124502315,308.55670857142854,8,0,0
210,69.169,536.23068,556.8703999375,89140.92014580556,308.55670857142854,4,0,0
211,69.447,536.23068,556.8703999375,14547.593524188655,308.55670857142854,6,0,0
212,69.756,536.23068,556.8703999375,557.6767189305556,308.55670857142854,2,0,0
213,70.311,536.23068,556.8703999375,562.5460965,308.55670857142854,8,0,0
214,70.606,536.23068,556.8703999375,556.8703999375,308.55670857142854,3,0,0
215,71.042,536.23068,556.8703999375,557.6767189305556,308.55670857142854,10,0,0
216,71.533,536.23068,556.8703999375,560.9491638402778,308.55670857142854,5,0,0
217,71.536,536.23068,556.8703999375,57385.40596017241,308.55670857142854,9,0,0
218,71.845,536.23068,556.8703999375,583.5100358645817,308.55670857142854,4,0,0
219,72.157,536.23068,556.8703999375,557.7996626805556,308.55670857142854,7,0,0
220,72.48,536.23068,556.8703999375,12689.954593844905,308.55670857142854,8,0,0
221,72.876,536.23068,556.8703999375,558.5233778020834,308.55670857142854,6,0,0
222,73.214,536.23068,556.8703999375,561.7311678622685,308.55670857142854,4,0,0
223,73.481,536.23068,556.8703999375,556.8703999375,308.55670857142854,1,0,0
224,74.013,536.23068,556.8703999375,584.7542261423595,308.55670857142854,3,0,0
225,74.444,536.23068,556.8703999375,601.7690837569414,308.55670857142854,6,0,0
226,74.69,536.23068,556.8703999375,556.8703999375,308.55670857142854,10,0,0
227,75.192,536.23068,556.8703999375,557.5611541041667,308.55670857142854,9,0,0
228,75.543,536.23068,556.8703999375,557.7909892430556,308.55670857142854,5,0,0
229,76.175,536.23068,556.8703999375,557.5099475069444,308.55670857142854,3,0,0
230,76.177,536.23068,556.8703999375,187000.69909387585,308.55670857142854,8,0,0
231,76.478,536.23068,556.8703999375,490.7778854166636,308.55670857142854,8,0,1
232,76.747,536.23068,556.8703999375,599.1502304583303,308.55670857142854,7,0,0
233,77.074,536.23068,556.8703999375,557.8071376805556,308.55670857142854,4,0,0
234,77.399,536.23068,556.8703999375,561.1204648819445,308.55670857142854,3,0,0
235,77.716,536.23068,556.8703999375,557.7996626805556,308.55670857142854,1,0,0
236,78.09,536.23068,556.8703999375,559.588544150463,308.55670857142854,4,0,0
237,78.495,536.23068,556.8703999375,557.8385399375001,308.55670857142854,6,0,0
238,78.795,536.23068,556.8703999375,557.6767189305556,308.55670857142854,2,0,0
239,78.962,536.23068,556.8703999375,531.9795268749968,308.55670857142854,7,0,1
240,78.965,536.23068,556.8703999375,154619.59841868756,308.55670857142854,3,0,0
241,79.11,536.23068,556.8703999375,39723.404757465265,308.55670857142854,6,0,0
242,79.114,536.23068,556.8703999375,148020.32378017332,308.55670857142854,8,0,0
243,79.611,536.23068,556.8703999375,557.6786020208333,308.55670857142854,3,0,0
244,79.885,536.23068,556.8703999375,557.6767189305556,308.55670857142854,10,0,0
245,80.139,536.23068,556.8703999375,556.8703999375,308.55670857142854,2,0,0
246,80.633,536.23068,556.8703999375,583.8326082048595,308.55670857142854,9,0,0
247,81.724,536.23068,556.8703999375,13059.459642138883,308.55670857142854,6,0,0
248,81.844,536.23068,556.8703999375,515.3108931192114,308.55670857142854,5,0,1
249,82.252,536.23068,556.8703999375,557.5099475069444,308.55670857142854,4,0,0
250,82.641,536.23068,556.8703999375,587.9398970069428,308.55670857142854,4,0,0
251,82.643,536.23068,556.8703999375,430193.74752991006,308.55670857142854,8,0,0
