Sprint,Dev,Tarefa,Fracao,T_Din,Inicio,Fim,Duracao_Tarefa,T_Nominal_Original,T_Base_Calculado,F_Tech_ET,F_Beh_EC,P_Ctx,P_Com,P_Phi_Fadiga,P_Match,B_Apr_Acumulado,F_Total_Multiplicador,Cg_Idx_Sustentabilidade,VNS_Gap,Runtime
2,Dev_1,T9,0.25,26.70833333333334,150.14473958333335,188.2894791666667,38.14473958333334,25,25.0,1.0,1.0,0.4,0.30000000000000004,0.0,2.3333333333333335,0.08000000000000002,3.953333333333334,0.1,223.95569523809522,180.2046914100647
1,Dev_2,T2,0.5,48.04166666666667,38.51848958333334,86.56015625,48.04166666666667,25,25.0,1.0,1.0,0.2,0.15000000000000002,0.0,2.3333333333333335,0.0,3.6833333333333336,0.0875,223.95569523809522,180.2046914100647
1,Dev_2,T3,0.25,37.817708333333336,0.0,38.51848958333334,38.51848958333334,25,37.375,0.92,1.625,0.2,0.30000000000000004,0.0,2.3333333333333335,0.0,3.833333333333334,0.0875,223.95569523809522,180.2046914100647
2,Dev_2,T5,0.25,37.77098958333334,112.0,150.14473958333335,38.14473958333334,25,37.375,0.92,1.625,0.2,0.30000000000000004,0.07499999999999998,2.3333333333333335,0.08000000000000002,3.828333333333334,0.10833333333333334,223.95569523809522,180.2046914100647
2,Dev_2,T9,0.25,37.77098958333334,150.14473958333335,188.2894791666667,38.14473958333334,25,37.375,0.92,1.625,0.2,0.30000000000000004,0.07499999999999998,2.3333333333333335,0.08000000000000002,3.828333333333334,0.10833333333333334,223.95569523809522,180.2046914100647
3,Dev_2,T10,1.0,27.0,224.0,251.0,27.0,25,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,223.95569523809522,180.2046914100647
1,Dev_3,T3,0.25,25.958333333333336,0.0,38.51848958333334,38.51848958333334,25,25.0,1.0,1.0,0.2,0.30000000000000004,0.0,2.3333333333333335,0.0,3.833333333333334,0.06666666666666667,223.95569523809522,180.2046914100647
2,Dev_3,T5,0.25,38.14473958333334,112.0,150.14473958333335,38.14473958333334,25,37.375,0.92,1.625,0.2,0.30000000000000004,0.07499999999999998,2.3333333333333335,0.04000000000000001,3.868333333333334,0.10833333333333334,223.95569523809522,180.2046914100647
2,Dev_3,T9,0.25,38.14473958333334,150.14473958333335,188.2894791666667,38.14473958333334,25,37.375,0.92,1.625,0.2,0.30000000000000004,0.07499999999999998,2.3333333333333335,0.04000000000000001,3.868333333333334,0.10833333333333334,223.95569523809522,180.2046914100647
1,Dev_3,T11,1.0,32.0,25.958333333333336,57.958333333333336,32.0,25,25.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,223.95569523809522,180.2046914100647
