Sprint,Dev,Tarefa,Fracao,T_Din,Inicio,Fim,Duracao_Tarefa,T_Nominal_Original,T_Base_Calculado,F_Tech_ET,F_Beh_EC,P_Ctx,P_Com,P_Phi_Fadiga,P_Match,B_Apr_Acumulado,F_Total_Multiplicador,Cg_Idx_Sustentabilidade,VNS_Gap,Runtime
4,Dev_0,T10,1.0,20.060466176,352.24477695999997,372.30524313599994,20.060466176,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.4969766912,0.9030233087999999,0.1,45.00788438390755,180.5518674850464
4,Dev_0,T11,1.0,20.0362797056,374.30524313599994,394.34152284159995,20.0362797056,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.49818601472,0.9018139852799999,0.1,45.00788438390755,180.5518674850464
5,Dev_0,T12,1.0,18.42176782336,448.0,466.42176782336,18.42176782336,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.578911608832,0.8210883911679999,0.1,45.00788438390755,180.5518674850464
5,Dev_0,T13,1.0,18.413060694015996,468.42176782336,486.834828517376,18.413060694015996,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.5793469652992,0.8206530347007999,0.1,45.00788438390755,180.5518674850464
5,Dev_0,T14,1.0,18.407836416409598,488.834828517376,507.24266493378565,18.407836416409598,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.57960817917952,0.8203918208204799,0.1,45.00788438390755,180.5518674850464
6,Dev_0,T17,1.0,22.72169266594447,593.9,616.6216926659445,22.72169266594447,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.36391536670277636,1.0360846332972236,0.1,45.00788438390755,180.5518674850464
6,Dev_0,T18,1.0,20.16101559956668,618.6216926659445,638.7827082655111,20.16101559956668,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.49194922002166586,0.908050779978334,0.1,45.00788438390755,180.5518674850464
6,Dev_0,T19,1.0,18.624609359740006,640.7827082655111,659.4073176252512,18.624609359740006,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.5687695320129995,0.8312304679870004,0.1,45.00788438390755,180.5518674850464
7,Dev_0,T21,1.0,24.829659369506402,704.34118144,729.1708408095064,24.829659369506402,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.2585170315246798,1.14148296847532,0.1,45.00788438390755,180.5518674850464
7,Dev_0,T22,1.0,22.897795621703843,731.1708408095064,754.0686364312103,22.897795621703843,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.3551102189148079,1.044889781085192,0.1,45.00788438390755,180.5518674850464
